Date,Open,High,Low,Close,Adj Close,Volume,Percent Returns
2016-04-29,189.660004,190.440002,185.899994,188.729996,169.616287,2342380,0.169566853
2016-05-02,189.800003,191.600006,188.419998,189.050003,169.9039,1872885,-1.4017647623
2016-05-03,189.380005,190.240005,185.699997,186.399994,167.522247,1037405,-1.5343293479
2016-05-04,186.740005,187.800003,182.899994,183.539993,164.951904,1477005,-0.5884115166
2016-05-05,183.649994,186.600006,181.330002,182.460007,163.981308,1961920,-0.2466531124
2016-05-06,182.199997,183.919998,181.279999,182.009995,163.576843,1141805,3.9393491657
2016-05-09,182.199997,189.679993,182.199997,189.179993,170.020706,1998900,0.4123138978
2016-05-10,189.5,190.570007,187.820007,189.960007,170.721725,1349405,0.6790863904
2016-05-11,187.559998,192.399994,186.300003,191.25,171.881073,2017910,-0.15161937
2016-05-12,191.080002,193.389999,190.039993,190.960007,171.620468,1340345,-0.5969864853
2016-05-13,191.009995,192.070007,188.770004,189.820007,170.595917,985740,3.1872134431
2016-05-16,191,197,189.110001,195.869995,176.033173,1833555,-0.9189694036
2016-05-17,197.399994,200,193.600006,194.070007,174.415482,2388025,0.0772844236
2016-05-18,193.600006,195.539993,192.610001,194.220001,174.550278,1424245,-0.4376395207
2016-05-19,194.220001,197.440002,192.830002,193.369995,173.786377,856140,1.1015023347
2016-05-20,194.059998,196.190002,192.899994,195.5,175.700638,979940,-0.0869495989
2016-05-23,196.220001,196.880005,194.229996,195.330002,175.547867,795305,0.0256066911
2016-05-24,195,197,194.220001,195.380005,175.592819,896745,1.975633753
2016-05-25,197,199.600006,196.880005,199.240005,179.06189,1264475,2.2334892143
2016-05-26,199.199997,205.080002,199.199997,203.690002,183.061218,1646380,0.8100459596
2016-05-27,204.399994,208,203.639999,205.339996,184.544098,1614635,4.9964269245
2016-05-30,205.399994,207,204.5,205.100006,193.764709,979745,0.6289612831
2016-05-31,204.800003,209,204.220001,206.389999,194.983414,1007300,-1.4341824992
2016-06-01,206.399994,206.589996,201.139999,203.429993,192.186996,862860,3.0968786254
2016-06-02,203.399994,210.399994,202.259995,209.729996,198.138794,1323150,0.057226552
2016-06-03,210.449997,211.940002,208.460007,209.850006,198.252182,854000,1.2771062464
2016-06-06,210.899994,213.729996,208.970001,212.529999,200.784073,1011345,0.3434714665
2016-06-07,213.729996,217,212.479996,213.259995,201.473709,1709750,-1.2379178466
2016-06-08,213,213.199997,209.029999,210.619995,198.97963,1013680,-1.2154605977
2016-06-09,210.220001,211.899994,207.350006,208.059998,196.561111,830785,2.1099723027
2016-06-10,207.199997,213.699997,207.199997,212.449997,200.708496,1875335,0.2118121597
2016-06-13,211.979996,214.399994,210.600006,212.899994,201.133621,1389900,0.0892386858
2016-06-14,212.25,214.240005,211.619995,213.089996,201.31311,517855,0.4880601169
2016-06-15,214.199997,214.600006,211.5,214.130005,202.295639,2836220,-0.9526952778
2016-06-16,212.600006,213.399994,209.580002,212.089996,200.368378,777555,0.9288536537
2016-06-17,213.050003,215,212.050003,214.059998,202.229507,1021250,0.4157682093
2016-06-20,212.220001,215.660004,211.080002,214.949997,203.070313,774400,-0.4280074163
2016-06-21,215.600006,215.809998,213.240005,214.029999,202.201157,600210,0.7989613037
2016-06-22,214.029999,216.360001,213,215.740005,203.816666,1073355,3.0638760424
2016-06-23,215.600006,223,215.529999,222.350006,210.061356,1698900,-2.860361903
2016-06-24,215,217.399994,208.410004,215.990005,204.052841,2761515,-0.3379845126
2016-06-27,215.600006,218.199997,214.460007,215.259995,203.363174,1262170,-0.6643051313
2016-06-28,216.800003,216.800003,212.559998,213.830002,202.012222,725980,0.4068639966
2016-06-29,214.220001,216.759995,214,214.699997,202.834137,526650,3.0740609506
2016-06-30,214.910004,222.190002,214.910004,221.300003,209.069382,1426255,2.1147644661
2016-07-01,221.960007,226.800003,221.350006,225.979996,213.490707,1079275,-0.9381237376
2016-07-04,226.410004,228.050003,223,223.860001,211.4879,810050,0.5583737888
2016-07-05,223.800003,226.25,222.699997,225.110001,212.668793,784130,-1.1860766991
2016-07-07,225.039993,226,222.100006,222.440002,210.146378,472455,0.6203966075
2016-07-08,222.440002,224.75,221.589996,223.820007,211.450119,509880,2.1088292696
2016-07-11,226.399994,229.720001,226.399994,228.539993,215.909241,636465,0.9670081699
2016-07-12,229.399994,231.190002,227.75,230.75,217.997101,532845,-0.5503807135
2016-07-13,230.600006,230.600006,227.699997,229.479996,216.797287,421615,1.9043107306
2016-07-14,229.479996,234.25,229,233.850006,220.925781,739890,0.8295835786
2016-07-15,233.850006,237.130005,232.309998,235.789993,222.758545,707800,-0.356244022
2016-07-18,236.429993,236.960007,234.139999,234.949997,221.964981,386000,-1.8003812953
2016-07-19,234,234.149994,228.720001,230.720001,217.968765,552565,0.6804786915
2016-07-20,230.399994,233.699997,229.800003,232.289993,219.451996,390470,-0.5983937371
2016-07-21,232.039993,233.949997,230.050003,230.899994,218.138809,391500,0.3334794039
2016-07-22,230.149994,233.25,229.800003,231.669998,218.866257,394545,2.0848572377
2016-07-25,232,237.949997,229.550003,236.5,223.429306,773305,1.501065845
2016-07-26,236.399994,242.009995,235.619995,240.050003,226.783127,1127820,-0.012501371
2016-07-27,241,242.800003,235.25,240.020004,226.754776,2929130,1.7040157073
2016-07-28,241.899994,245.330002,240.610001,244.110001,230.618713,1440485,-0.2744569128
2016-07-29,245,247.179993,241.600006,243.440002,229.985764,831780,0.3491559591
2016-08-01,244,246.850006,240.679993,244.289993,230.788773,497090,0.5771909884
2016-08-02,245.800003,248.800003,244.630005,245.699997,232.120865,659050,0.5250234614
2016-08-03,246,248.669998,243.600006,246.990005,233.339554,674440,-0.4413118061
2016-08-04,248.889999,249,244.119995,245.899994,232.309799,563770,2.3342859506
2016-08-05,246.800003,252,246.800003,251.639999,237.732574,1000400,0.4887920828
2016-08-08,253.800003,253.800003,251.160004,252.869995,238.894592,413190,-0.3915061418
2016-08-09,253.399994,253.399994,250.199997,251.880005,237.959305,570920,0.4287745756
2016-08-10,250.259995,253.619995,249.5,252.960007,238.979614,501465,-0.9606258716
2016-08-11,253.600006,253.600006,247.399994,250.529999,236.683914,824190,3.0615130862
2016-08-12,251.399994,258.799988,250.860001,258.200012,243.930023,1107885,0.3020858158
2016-08-16,259.700012,262.859985,258.440002,258.980011,244.666901,772860,1.0078024408
2016-08-17,259.380005,261.929993,257.049988,261.589996,247.13266,767780,0.9633315969
2016-08-18,261,264.940002,261,264.109985,249.513367,454115,1.2191883892
2016-08-19,264.799988,267.799988,263.420013,267.329987,252.555405,749440,0.4975145949
2016-08-22,264.410004,269.799988,264.410004,268.660004,253.811905,530615,-0.0893181114
2016-08-23,269.200012,270.179993,267.299988,268.420013,253.585205,592160,-0.2645170092
2016-08-24,268.420013,268.700012,266.049988,267.709991,252.914429,520715,0.3810075225
2016-08-25,267.589996,269.940002,267.450012,268.730011,253.878052,1634175,-1.2949756681
2016-08-26,268.799988,269.089996,263.899994,265.25,250.590393,637600,0.8331704081
2016-08-29,264.820007,267.950012,263.579987,267.459991,252.678238,481985,1.3273026702
2016-08-30,268,274.790009,268,271.01001,256.032043,858565,0.5719303658
2016-08-31,271.76001,275,268.399994,272.559998,257.496368,723215,0.2091346003
2016-09-01,273.299988,275.380005,272.299988,273.130005,258.034882,590915,1.5999693406
2016-09-02,273.029999,278.76001,272.579987,277.5,262.163361,562350,3.8486506892
2016-09-06,278,289.799988,278,288.179993,272.253113,1191855,-2.4637521776
2016-09-07,290,290,278.48999,281.079987,265.545471,1293110,-5.3187625256
2016-09-08,278,278.049988,265,266.130005,251.421738,2333635,-4.0130790123
2016-09-09,252,263,250.070007,255.449997,241.331985,8513555,-5.6292724729
2016-09-12,250.869995,250.990005,239.610001,241.070007,227.74675,3320665,3.986389707
2016-09-14,240.800003,251.350006,240.740005,250.679993,236.825623,2752040,-2.5211456955
2016-09-15,248.600006,248.600006,241.199997,244.360001,230.854904,2014195,-4.3746880941
2016-09-16,247,247.899994,231.800003,233.669998,220.755722,5101210,0.8302294425
2016-09-19,233,238.690002,231.199997,235.610001,222.588501,2613580,2.2494850262
2016-09-20,237.800003,242.429993,234.600006,240.910004,227.595596,2009295,1.0916885228
2016-09-21,243.380005,245.360001,241.800003,243.539993,230.080231,5202330,2.3445838769
2016-09-22,248.399994,251.929993,246.119995,249.25,235.474655,2289840,-1.1113285207
2016-09-23,249.399994,249.779999,245.399994,246.479996,232.857758,847380,0.2921057928
2016-09-26,244,248.380005,243.830002,247.199997,233.537949,976085,0.8292896329
2016-09-27,248.020004,250.330002,247.710007,249.25,235.474655,675555,1.7853539269
2016-09-28,249.300003,254.600006,249.199997,253.699997,239.678711,1462445,-2.9917204453
2016-09-29,255.199997,260.799988,245,246.110001,232.508194,2825735,1.9259721229
2016-09-30,246.800003,251.75,242.710007,250.850006,236.986237,1318765,1.3434244285
2016-10-03,253.410004,256.630005,253,254.220001,240.169968,698585,0.9676692799
2016-10-04,255.399994,258,254.100006,256.679993,242.494019,989195,-0.3428373217
2016-10-05,257.600006,259.399994,253.339996,255.800003,241.662659,676230,0.0977229999
2016-10-06,245.800003,259,245.800003,256.049988,241.898819,2844435,-0.4022562012
2016-10-07,255,256.929993,253.279999,255.020004,240.925766,694685,0.3411486507
2016-10-10,255.199997,257.799988,254.899994,255.889999,241.747681,412060,-1.9109742773
2016-10-13,253.800003,256.519989,247.050003,251,237.127945,1051130,0.3944229348
2016-10-14,252.020004,253.5,248.800003,251.990005,238.063232,782080,-0.7222539094
2016-10-17,252.199997,253.5,248.600006,250.169998,236.343811,687510,3.2338054327
2016-10-18,251.600006,259.26001,251.399994,258.26001,243.98671,1061500,0.042589205
2016-10-19,259,261.649994,255.75,258.369995,244.090622,1533280,1.3120749883
2016-10-20,260,264.600006,259.700012,261.76001,247.293274,3230835,0.6303414463
2016-10-21,263.200012,263.970001,259.600006,263.410004,248.852066,1547910,-0.6301948886
2016-10-24,263.600006,265.5,261.019989,261.75,247.283813,960600,-0.0687643069
2016-10-25,260.200012,262.369995,259.769989,261.570007,247.11377,728205,-1.4565869802
2016-10-26,259,262.589996,256.600006,257.76001,243.514343,1501425,-2.6807891148
2016-10-27,258.399994,259.799988,248.509995,250.850006,236.986237,1078680,1.407212099
2016-10-28,253,255.5,251.649994,254.380005,240.321136,1087360,-1.7572158114
2016-11-01,255,255,249.259995,249.910004,236.098175,575415,-3.1011124927
2016-11-02,248.029999,248.029999,240.199997,242.160004,228.776505,769410,-0.2849379135
2016-11-03,241.220001,249.399994,238.619995,241.470001,228.124634,862025,-0.9069472085
2016-11-04,241.800003,242.990005,234.880005,239.279999,226.055664,931520,0.7982295016
2016-11-07,241,246.350006,240.580002,241.190002,227.860107,720065,1.4926030909
2016-11-08,242.020004,247.139999,239.399994,244.789993,231.261154,751795,-0.3880924161
2016-11-09,230.199997,245.990005,224.580002,243.839996,230.363647,2259705,5.8645060434
2016-11-10,248,262.720001,246.830002,258.140015,243.873337,2093130,-5.8262974439
2016-11-11,252,257.089996,242,243.100006,229.664551,4426875,-4.660635241
2016-11-15,243.740005,243.740005,230,231.770004,218.960724,2393490,1.7733125508
2016-11-16,233.600006,239.779999,226.679993,235.880005,222.843582,1836715,-0.4112220741
2016-11-17,240,241.720001,233.210007,234.910004,221.9272,1268205,0.4512376131
2016-11-18,236,237.199997,232.199997,235.970001,222.928619,1046535,-5.7083608453
2016-11-21,236.399994,237.990005,221.130005,222.5,210.203049,1284975,1.7258441384
2016-11-22,224.800003,227.979996,219.100006,226.339996,213.830826,1348040,-0.5301770662
2016-11-23,227.199997,229,223.880005,225.139999,212.697144,730825,-0.6307197994
2016-11-24,225.199997,225.779999,221.949997,223.720001,211.355621,864210,4.3715430686
2016-11-25,226.199997,234.419998,224.809998,233.5,220.595123,1188940,-1.5888719353
2016-11-28,228.199997,235,227,229.789993,217.090149,1621320,-0.4134190354
2016-11-29,230.800003,232.669998,228.289993,228.839996,216.192657,907055,2.3772125618
2016-11-30,229.800003,235.339996,229.119995,234.279999,221.332016,1242600,-0.836609648
2016-12-01,235.399994,236.949997,231.449997,232.320007,219.480331,860875,-0.9986188694
2016-12-02,230.800003,232.830002,228.779999,230,217.288559,1996735,2.8869490547
2016-12-05,234,237.600006,230.020004,236.639999,223.561569,702755,0.8282729488
2016-12-06,236.800003,241.190002,235.429993,238.600006,225.413269,1383620,-0.2808157669
2016-12-07,238.600006,243.979996,235.119995,237.929993,224.780273,1715525,1.9711703082
2016-12-08,238.979996,243.399994,238.210007,242.619995,229.211075,650995,0.4575018899
2016-12-09,242.600006,245,240.899994,243.729996,230.25972,932730,-2.1294010954
2016-12-12,241.100006,243.360001,237.600006,238.539993,225.356567,860085,1.1696149063
2016-12-13,239,241.880005,236.190002,241.330002,227.992371,803550,-0.7707218414
2016-12-14,240,242,238.970001,239.470001,226.235184,502600,-0.9103535372
2016-12-15,238.800003,240.899994,236,237.289993,224.175644,827150,-0.4340649959
2016-12-16,238.020004,239.169998,234.600006,236.259995,223.202576,1171980,-0.0423234363
2016-12-19,236.399994,237.660004,235.119995,236.160004,223.108109,565880,-2.7820118362
2016-12-20,236.419998,236.770004,228.660004,229.589996,216.901215,1146470,-0.8406356783
2016-12-21,230.979996,231.179993,227.039993,227.660004,215.077866,1141600,-1.0058929076
2016-12-22,227,227,223.009995,225.369995,212.914413,870940,-0.1952258629
2016-12-23,224.199997,228,224,224.929993,212.498749,1226750,-2.0584191769
2016-12-26,224.800003,224.800003,218.25,220.300003,208.124634,818905,2.2242350226
2016-12-27,221,226.279999,220.119995,225.199997,212.753815,469705,-1.0745870761
2016-12-28,227.199997,227.75,222.199997,222.779999,210.46759,560540,3.1376251327
2016-12-29,222.389999,231,221.25,229.770004,217.071274,734400,0.6484681156
2016-12-30,229.600006,232.300003,229.100006,231.259995,218.478912,748225,-1.059411171
2017-01-02,231.979996,232.389999,226.300003,228.809998,216.164322,744230,1.6432869065
2017-01-03,228.800003,234.449997,228.149994,232.570007,219.716522,769130,0.042988119
2017-01-04,233,234.5,231.800003,232.669998,219.810974,383580,3.9841918903
2017-01-05,235,243.789993,233.800003,241.940002,228.568665,1563975,3.0999345426
2017-01-06,242.800003,250.179993,242.800003,249.440002,235.654144,1281440,0.5492358327
2017-01-09,250.199997,253.449997,249.679993,250.809998,236.948441,867900,0.6778048394
2017-01-10,250.800003,253.539993,250.320007,252.509995,238.554489,461300,4.3760656292
2017-01-11,254.199997,264.420013,254.199997,263.559998,248.99379,1400715,0.5273910647
2017-01-12,264.200012,268.589996,263.600006,264.950012,250.306961,1031995,-0.5208448837
2017-01-13,265.640015,268.200012,261.459991,263.570007,249.00325,1599150,0.8953851004
2017-01-16,263.200012,267.200012,262.309998,265.929993,251.232788,570020,-0.3572228797
2017-01-17,266.600006,267.149994,263.200012,264.980011,250.335327,498775,1.6152103055
2017-01-18,265,270.059998,265,269.26001,254.378769,757755,0.0631338066
2017-01-19,269.01001,271.290009,266.420013,269.429993,254.539368,2058380,0.8536526263
2017-01-20,271.200012,275.660004,270.269989,271.730011,256.71225,1493135,1.6523761527
2017-01-23,272,277.399994,272,276.220001,260.954102,1051755,-1.5386257465
2017-01-24,277.019989,282.600006,269.420013,271.970001,256.938995,1868010,3.3937666799
2017-01-25,272.600006,282,272.600006,281.200012,265.658905,1265885,-0.4729865916
2017-01-27,281.299988,284.309998,278.200012,279.869995,264.402374,1409805,-0.7110393797
2017-01-30,279.600006,279.98999,276.619995,277.880005,262.522369,791620,0.439032302
2017-01-31,277,279.980011,276.480011,279.100006,263.674927,774515,1.2397079378
2017-02-01,280.399994,283.200012,276.470001,282.559998,266.943726,1075075,-1.7022909915
2017-02-02,284,284,277.140015,277.75,262.399567,655090,0.6120505527
2017-02-03,277.820007,280.600006,277.200012,279.450012,264.005585,423885,0.0680042432
2017-02-06,281,281.98999,278.48999,279.640015,264.18512,638860,-0.1180111885
2017-02-07,279.799988,281,277.600006,279.309998,263.873352,546270,1.031110182
2017-02-08,279.200012,284.339996,275.609985,282.190002,266.594177,915570,-0.2728784282
2017-02-09,282.200012,284.100006,279.019989,281.420013,265.866699,1035835,0.2451815148
2017-02-10,281.600006,283.100006,280.600006,282.109985,266.518555,478770,2.9350252931
2017-02-13,282.200012,291.899994,281.959991,290.390015,274.340942,1126160,0.3340416466
2017-02-14,291,294.190002,288.399994,291.359985,275.257355,834715,-1.7401042744
2017-02-15,290,292.320007,284,286.290009,270.46759,614615,0.3318183151
2017-02-16,286.299988,289.200012,285.350006,287.23999,271.365051,431400,0.306362222
2017-02-17,287.23999,291.640015,287.029999,288.119995,272.196411,460135,-0.7982772411
2017-02-20,287.200012,287.940002,284.910004,285.820007,270.023529,322825,1.4554598314
2017-02-21,285.869995,290.679993,285.869995,289.980011,273.953613,391705,-0.1103497036
2017-02-22,290.200012,291.600006,288.399994,289.660004,273.651306,252745,-0.2554700031
2017-02-23,289,291,288,288.920013,272.952209,337545,-1.5783030355
2017-02-27,288.920013,289,283.200012,284.359985,268.644196,386095,2.1803300005
2017-02-28,285,291.799988,285,290.559998,274.501526,502660,0.0619573969
2017-03-01,290.600006,293.299988,288.75,290.73999,274.6716,409525,-1.8779527989
2017-03-02,291,292.079987,283.899994,285.279999,269.513397,395230,0.62745341
2017-03-03,283.600006,288.089996,283.600006,287.070007,271.204468,309750,1.6859895538
2017-03-06,287.059998,292.880005,287.059998,291.910004,275.776947,1499910,-0.7536525524
2017-03-07,292.399994,293,288.019989,289.709991,273.698547,208355,1.5601847532
2017-03-08,289.799988,295.329987,289.799988,294.230011,277.96875,567410,-0.3942479146
